Species_nr;Species_name;Sci_name
15820;Common Starling;Sturnus vulgaris
15830;Spotless Starling;Sturnus unicolor
15910;House Sparrow;Passer domesticus
15980;Eurasian Tree Sparrow;Passer montanus
16040;Rock Sparrow;Petronia petronia
16360;Common Chaffinch;Fringilla coelebs
16380;Brambling;Fringilla montifringilla
16400;European Serin;Serinus serinus
16440;Citril Finch;Carduelis citrinella
16490;European Greenfinch;Chloris chloris
16530;European Goldfinch;Carduelis carduelis
16540;Eurasian Siskin;Spinus spinus
16600;Common Linnet;Linaria cannabina
16630;Redpoll;Acanthis flammea
16790;Common Rosefinch;Carpodacus erythrinus
17100;Eurasian Bullfinch;Pyrrhula pyrrhula
17170;Hawfinch;Coccothraustes coccothraustes
18470;Lapland Longspur;Calcarius lapponicus
18570;Yellowhammer;Emberiza citrinella
18580;Cirl Bunting;Emberiza cirlus
18600;Rock Bunting;Emberiza cia
18660;Ortolan Bunting;Emberiza hortulana
18730;Rustic Bunting;Emberiza rustica
18770;Reed Bunting;Emberiza schoeniclus
18810;Black-headed Bunting;Emberiza melanocephala
18820;Corn Bunting;Emberiza calandra
